"";"id";"part_index";"parent_id";"title";"type";"course_id";"obsels";"max.duration";"size";"nb_img";"vid_length";"Readers"
"1";3449001;0;0;"Utilisez des API REST dans vos projets web";"course";3449001;0;NA;0;0;0;3366
"2";3449008;1;3449009;"Qu'est-ce qu'une API ?";"title-2";3449001;0;794,4;795;5;155;2481
"3";3449009;-1;3449001;"Introduction aux API";"title-1";3449001;0;NA;0;0;0;0
"4";3449142;0;3449008;"API : Application Programming Interface";"title-3";3449001;0;NA;0;0;0;0
"5";3449152;0;3449008;"Mais qu’est-ce qu’une interface ?";"title-3";3449001;0;NA;0;0;0;0
"6";3449165;0;3449008;"Utiliser une API";"title-3";3449001;0;NA;0;0;0;0
"7";3449168;0;3449008;"Construire sa propre API";"title-3";3449001;0;NA;0;0;0;0
"8";3501901;2;3449009;"Pourquoi REST ?";"title-2";3449001;0;778,2;706;2;309;2228
"9";3501906;3;3449009;"Quelques exemples d’API REST";"title-2";3449001;0;867;1158;2;310;2073
"10";3501911;-2;3449001;"Dissection d’une API REST";"title-1";3449001;0;NA;0;0;0;0
"11";3501916;5;3501911;"Les ressources";"title-2";3449001;0;693,9;419;0;170;1314
"12";3501921;6;3501911;"Les requêtes";"title-2";3449001;0;645,4;620;1;164;1167
"13";3501926;7;3501911;"Les méthodes";"title-2";3449001;0;656,1;555;0;270;1063
"14";3501941;8;3501911;"Les réponses";"title-2";3449001;0;481,6;446;1;185;940
"15";3501946;9;3501911;"Les codes HTTP";"title-2";3449001;0;595;511;0;244;952
"16";3501968;0;3501906;"Instagram";"title-3";3449001;0;NA;0;0;0;0
"17";3501977;0;3501906;"Gmail";"title-3";3449001;0;NA;0;0;0;0
"18";3501984;0;3501906;"Github";"title-3";3449001;0;NA;0;0;0;0
"19";3501992;0;3501906;"Weather Underground";"title-3";3449001;0;NA;0;0;0;0
"20";3502142;0;3501901;"La fondation d’HTTP";"title-3";3449001;0;NA;0;0;0;0
"21";3502160;0;3501901;"Les critères REST";"title-3";3449001;0;NA;0;0;0;0
"22";3502161;0;3501901;"Les autres API";"title-3";3449001;0;NA;0;0;0;0
"23";3502966;-3;3449001;"Mise en pratique de REST";"title-1";3449001;0;NA;0;0;0;0
"24";3504206;10;3502966;"Faire des requêtes GET";"title-2";3449001;0;860;20;0;222;1048
"25";3518486;11;3502966;"Faire des requêtes PUT et POST";"title-2";3449001;0;323,7;25;0;165;874
"26";3518496;12;3502966;"Faires des requêtes DELETE";"title-2";3449001;0;907,4;18;0;159;690
"27";3518556;4;3449009;"Pratiquer avec l'intelligence artificielle";"title-2";3449001;0;2090,7;923;5;0;1828
"28";3537760;0;3501921;"Première ligne (HTTP)";"title-3";3449001;0;NA;0;0;0;0
"29";3537852;0;3501921;"Les en-têtes";"title-3";3449001;0;NA;0;0;0;0
"30";3537856;0;3501921;"Corps";"title-3";3449001;0;NA;0;0;0;0
"31";3538048;0;3501941;"La version HTTP";"title-3";3449001;0;NA;0;0;0;0
"32";3538050;0;3501941;"Le code réponse HTTP";"title-3";3449001;0;NA;0;0;0;0
"33";3538057;0;3501941;"Les en-têtes";"title-3";3449001;0;NA;0;0;0;0
"34";3538061;0;3501941;"Le corps";"title-3";3449001;0;NA;0;0;0;0
"35";3538242;0;3501946;"2xx :";"title-3";3449001;0;NA;0;0;0;0
"36";3538245;0;3501946;"3xx : ";"title-3";3449001;0;NA;0;0;0;0
"37";3538252;0;3501946;"4xx :";"title-3";3449001;0;NA;0;0;0;0
"38";3538257;0;3501946;"5xx :";"title-3";3449001;0;NA;0;0;0;0
"39";3540571;0;3501916;"Accéder aux ressources";"title-3";3449001;0;NA;0;0;0;0
"40";3540579;0;3501916;"Imbrication";"title-3";3449001;0;NA;0;0;0;0
