"";"id";"part_index";"parent_id";"title";"type";"course_id";"obsels";"max.duration";"size";"nb_img";"vid_length";"Readers"
"1";3013711;0;0;"Développez une application mobile multi-plateforme avec Ionic";"course";3013711;0;NA;0;0;0;2020
"2";3411286;-1;3013711;"Familiarisez-vous avec Ionic et son environnement";"title-1";3013711;0;NA;0;0;0;0
"3";3657046;1;3411286;"Qu'est-ce que Ionic ?";"title-2";3013711;0;981;674;1;391;1541
"4";3657051;2;3411286;"Installez et configurez votre environnement";"title-2";3013711;0;1993,4;504;3;0;1234
"5";3657056;3;3411286;"Maîtrisez la ligne de commande";"title-2";3013711;0;1587,9;558;4;442;966
"6";3657061;4;3411286;"Organisez un projet";"title-2";3013711;0;1523;1235;0;380;766
"7";3657071;-2;3013711;"Créez votre première app";"title-1";3013711;0;NA;0;0;0;0
"8";3657076;-3;3013711;"Créez une app de météo interactive";"title-1";3013711;0;NA;0;0;0;0
"9";3657086;-4;3013711;"Ajoutez des services plus poussés à votre app";"title-1";3013711;0;NA;0;0;0;0
"10";3657091;5;3657071;"C'est parti pour créer une application !";"title-2";3013711;0;469,4;215;2;137;703
"11";3657096;6;3657071;"Ce qu'il faut connaître au sujet d'AngularJS";"title-2";3013711;0;1787,6;756;4;351;708
"12";3657101;7;3657071;"Les composants";"title-2";3013711;0;1476,3;726;3;239;578
"13";3657106;8;3657071;"Les services";"title-2";3013711;0;2433,4;858;4;345;508
"14";3657111;9;3657071;"Les styles et les icônes";"title-2";3013711;0;1817;919;9;350;469
"15";3657116;10;3657076;"Démarrez votre app météo";"title-2";3013711;0;1637,5;690;3;258;441
"16";3657121;11;3657076;"Créez votre premier écran";"title-2";3013711;0;785;256;1;107;422
"17";3657126;12;3657076;"Reliez l'application à un service web";"title-2";3013711;0;1169,2;480;0;232;440
"18";3657131;13;3657076;"Personnalisez vos écrans";"title-2";3013711;0;801,8;390;3;243;367
"19";3657136;14;3657076;"Testez et débuggez votre app";"title-2";3013711;0;1130,3;584;4;242;353
"20";3657141;15;3657086;"Accédez à un périphérique de votre téléphone";"title-2";3013711;0;2223,5;484;2;208;345
"21";3657146;16;3657086;"Rendez votre app plus visuelle avec un splashscreen et une icône";"title-2";3013711;0;783;360;3;137;340
"22";3657151;17;3657086;"Traduisez votre application";"title-2";3013711;0;990;399;2;195;294
"23";3657156;18;3657086;"Accédez aux données de votre app avec Firebase";"title-2";3013711;0;1846,2;530;2;194;369
"24";3657161;19;3657086;"Utilisez les outils proposés par Ionic";"title-2";3013711;0;1921,6;560;1;234;356
"25";3688277;0;3657046;"Plusieurs types d'applications mobiles";"title-3";3013711;0;NA;0;0;0;0
"26";3688285;0;3657046;"Concepts de Ionic";"title-3";3013711;0;NA;0;0;0;0
"27";3688670;0;3657056;"Création d'un nouveau projet";"title-3";3013711;0;NA;0;0;0;0
"28";3690321;0;3657051;"Installation de l'environnement";"title-3";3013711;0;NA;0;0;0;0
"29";3690362;0;3657051;"Android";"title-3";3013711;0;NA;0;0;0;0
"30";3690451;0;3657051;"iOS";"title-3";3013711;0;NA;0;0;0;0
"31";3690621;0;3657056;"Test";"title-3";3013711;0;NA;0;0;0;0
"32";3691403;0;3657056;"Run / Emulate";"title-3";3013711;0;NA;0;0;0;0
