"";"id";"part_id";"parent_id";"title";"type";"course_id";"obsels";"max.duration";"size";"nb_img";"vid_length"
"1";0;1885491;0;"Prenez en main Bootstrap";"course";1885491;0;NA;209;0;0
"2";0;1885559;1885777;"Un framework ?";"title-3";1885491;0;NA;0;0;0
"3";0;1885597;1885777;"Découverte de Bootstrap";"title-3";1885491;0;NA;0;0;0
"4";0;1885686;1885777;"Installation";"title-3";1885491;0;NA;0;0;0
"5";0;1885713;1885777;"Une trame pour démarrer";"title-3";1885491;0;NA;0;0;0
"6";0;1885776;1885777;"Les Media Queries";"title-3";1885491;0;NA;0;0;0
"7";1;1885777;1886262;"Mise en route";"title-2";1885491;0;2268;4237;0;0
"8";0;1885921;1886111;"Présentation";"title-3";1885491;0;NA;0;0;0
"9";0;1886047;1886111;"La grille en pratique";"title-3";1885491;0;NA;0;0;0
"10";0;1886110;1886111;"Mise en page";"title-3";1885491;0;NA;0;0;0
"11";2;1886111;1886262;"Une grille ?";"title-2";1885491;0;2725;3255;14;0
"12";0;1886199;1886261;"Combiner les formats et exemple de page";"title-3";1885491;0;NA;0;0;0
"13";0;1886260;1886261;"Cas pratiques et classes « responsive »";"title-3";1885491;0;NA;0;0;0
"14";3;1886261;1886262;"Un peu de pratique";"title-2";1885491;0;2051,6;2480;14;0
"15";-1;1886262;1885491;"Premiers pas";"title-1";1885491;0;NA;0;0;0
"16";0;1886362;1886706;"Listes, descriptions et tableaux";"title-3";1885491;0;NA;0;0;0
"17";0;1886514;1886706;"Formulaires";"title-3";1885491;0;NA;0;0;0
"18";0;1886705;1886706;"Boutons, icônes et images";"title-3";1885491;0;NA;0;0;0
"19";4;1886706;1887144;"Eléments de base";"title-2";1885491;0;2218;6548;15;0
"20";0;1886844;1887143;"La navigation";"title-3";1885491;0;NA;0;0;0
"21";0;1886941;1887143;"Effets typographiques et thumbnails";"title-3";1885491;0;NA;0;0;0
"22";0;1887040;1887143;"Listes groupées, panneaux et médias";"title-3";1885491;0;NA;0;0;0
"23";0;1887142;1887143;"Alertes et barres de progression";"title-3";1885491;0;NA;0;0;0
"24";5;1887143;1887144;"Les composants intégrés";"title-2";1885491;0;2126;5455;16;0
"25";-2;1887144;1885491;"Mise en forme des éléments";"title-1";1885491;0;NA;0;0;0
"26";6;1887934;1888237;"Les plugins jQuery";"title-2";1885491;0;2325;12825;25;0
"27";0;1887993;1888236;"Configuration simplifiée";"title-3";1885491;0;NA;0;0;0
"28";0;1888083;1888236;"LESS, un langage de style dynamique";"title-3";1885491;0;NA;0;0;0
"29";0;1888184;1888236;"Utilisation de LESS dans Bootstrap";"title-3";1885491;0;NA;0;0;0
"30";7;1888236;1888237;"Configurer Bootstrap";"title-2";1885491;0;2410;7334;12;0
"31";-3;1888237;1885491;"Mise en forme avancée";"title-1";1885491;0;NA;0;0;0
"32";0;2509340;1885777;"En résumé ";"title-3";1885491;0;NA;0;0;0
"33";0;2510310;1886261;"En résumé";"title-3";1885491;0;NA;0;0;0
"34";0;2510671;1886706;"En résumé";"title-3";1885491;0;NA;0;0;0
"35";0;2511825;1887143;"En résumé";"title-3";1885491;0;NA;0;0;0
"36";0;2513942;1887934;"En résumé";"title-3";1885491;0;NA;0;0;0
"37";0;2515057;1888236;"Un thème pour Bootstrap";"title-3";1885491;0;NA;0;0;0
"38";0;2515461;1888236;"En résumé";"title-3";1885491;0;NA;0;0;0
"39";0;2515503;1885777;"Les ressources";"title-3";1885491;0;NA;0;0;0
"40";0;2518354;1886111;"En résumé";"title-3";1885491;0;NA;0;0;0
"41";0;2531968;1888236;"Intégration dans HTML5 Boilerplate";"title-3";1885491;0;NA;0;0;0
"42";0;2729924;1887934;"Généralités";"title-3";1885491;0;NA;0;0;0
"43";0;2729953;1887934;"Menu déroulant";"title-3";1885491;0;NA;0;0;0
"44";0;2729986;1887934;"Fenêtre modale";"title-3";1885491;0;NA;0;0;0
"45";0;2730017;1887934;"Onglets";"title-3";1885491;0;NA;0;0;0
"46";0;2730033;1887934;"Boutons";"title-3";1885491;0;NA;0;0;0
"47";0;2730064;1887934;"Carrousel";"title-3";1885491;0;NA;0;0;0
"48";0;2730094;1887934;"Info-bulles et Popover";"title-3";1885491;0;NA;0;0;0
"49";0;2730121;1887934;"Effet accordéon";"title-3";1885491;0;NA;0;0;0
"50";0;2730125;1887934;"Le Scrollspy";"title-3";1885491;0;NA;0;0;0
