,id,part_id,parent_id,title,type,slug,element_id,course_id,size,nb_img,vid_length
1,0,1885491,0,Prenez en main Bootstrap,course,prenez-en-main-bootstrap,6478971,1885491,209,0,0
2,-99,1886262,1885491,Premiers pas,title-1,premiers-pas-2,6271091,1885491,0,0,0
3,1,1885777,1886262,Mise en route,title-2,mise-en-route-8,3993942,1885491,4237,0,0
4,2,1885559,1885777,Un framework ?,title-3,,3096385,1885491,0,0,0
5,3,1885597,1885777,Découverte de Bootstrap,title-3,,3467034,1885491,0,0,0
6,4,1885686,1885777,Installation,title-3,,3993938,1885491,0,0,0
7,5,1885713,1885777,Une trame pour démarrer,title-3,,3400614,1885491,0,0,0
8,6,1885776,1885777,Les Media Queries,title-3,,3400619,1885491,0,0,0
9,7,2515503,1885777,Les ressources,title-3,,3993941,1885491,0,0,0
10,8,2509340,1885777,En résumé ,title-3,,3054406,1885491,0,0,0
11,9,1886111,1886262,Une grille ?,title-2,une-grille,5718326,1885491,3255,14,0
12,10,1885921,1886111,Présentation,title-3,,5718279,1885491,0,0,0
13,11,1886047,1886111,La grille en pratique,title-3,,5718304,1885491,0,0,0
14,12,1886110,1886111,Mise en page,title-3,,5718325,1885491,0,0,0
15,13,2518354,1886111,En résumé,title-3,,3077115,1885491,0,0,0
16,14,1886261,1886262,Un peu de pratique,title-2,un-peu-de-pratique-15,6271090,1885491,2480,14,0
17,15,1886199,1886261,Combiner les formats et exemple de page,title-3,,6271067,1885491,0,0,0
18,16,1886260,1886261,Cas pratiques et classes « responsive »,title-3,,6271089,1885491,0,0,0
19,17,2510310,1886261,En résumé,title-3,,6271030,1885491,0,0,0
20,-99,1887144,1885491,Mise en forme des éléments,title-1,mise-en-forme-des-elements,6478970,1885491,0,0,0
21,18,1886706,1887144,Eléments de base,title-2,elements-de-base,5706764,1885491,6548,15,0
22,19,1886362,1886706,"Listes, descriptions et tableaux",title-3,,5706642,1885491,0,0,0
23,20,1886514,1886706,Formulaires,title-3,,5706701,1885491,0,0,0
24,21,1886705,1886706,"Boutons, icônes et images",title-3,,5706763,1885491,0,0,0
25,22,2510671,1886706,En résumé,title-3,,3057578,1885491,0,0,0
26,23,1887143,1887144,Les composants intégrés,title-2,les-composants-integres,6478969,1885491,5455,16,0
27,24,1886844,1887143,La navigation,title-3,,6478851,1885491,0,0,0
28,25,1886941,1887143,Effets typographiques et thumbnails,title-3,,6478891,1885491,0,0,0
29,26,1887040,1887143,"Listes groupées, panneaux et médias",title-3,,6478935,1885491,0,0,0
30,27,1887142,1887143,Alertes et barres de progression,title-3,,6478968,1885491,0,0,0
31,28,2511825,1887143,En résumé,title-3,,6478611,1885491,0,0,0
32,-99,1888237,1885491,Mise en forme avancée,title-1,mise-en-forme-avancee,6271584,1885491,0,0,0
33,29,1887934,1888237,Les plugins jQuery,title-2,les-plugins-jquery-2,5836714,1885491,12825,25,0
34,30,2729924,1887934,Généralités,title-3,,5836423,1885491,0,0,0
35,31,2729953,1887934,Menu déroulant,title-3,,5836468,1885491,0,0,0
36,32,2729986,1887934,Fenêtre modale,title-3,,5836517,1885491,0,0,0
37,33,2730017,1887934,Onglets,title-3,,5836561,1885491,0,0,0
38,34,2730033,1887934,Boutons,title-3,,5836584,1885491,0,0,0
39,35,2730064,1887934,Carrousel,title-3,,5836626,1885491,0,0,0
40,36,2730094,1887934,Info-bulles et Popover,title-3,,5836668,1885491,0,0,0
41,37,2730121,1887934,Effet accordéon,title-3,,5836704,1885491,0,0,0
42,38,2730125,1887934,Le Scrollspy,title-3,,5836713,1885491,0,0,0
43,39,2513942,1887934,En résumé,title-3,,4884579,1885491,0,0,0
44,40,1888236,1888237,Configurer Bootstrap,title-2,configurer-bootstrap,6271583,1885491,7334,12,0
45,41,1887993,1888236,Configuration simplifiée,title-3,,6271545,1885491,0,0,0
46,42,1888083,1888236,"LESS, un langage de style dynamique",title-3,,6271549,1885491,0,0,0
47,43,1888184,1888236,Utilisation de LESS dans Bootstrap,title-3,,6271563,1885491,0,0,0
48,44,2515057,1888236,Un thème pour Bootstrap,title-3,,6271575,1885491,0,0,0
49,45,2531968,1888236,Intégration dans HTML5 Boilerplate,title-3,,6271582,1885491,0,0,0
50,46,2515461,1888236,En résumé,title-3,,6271515,1885491,0,0,0
