"";"id";"part_id";"parent_id";"title";"type";"course_id";"obsels";"max.duration";"size";"nb_img";"vid_length"
"1";0;3432066;0;"Continuez avec Ruby on Rails";"course";3432066;0;NA;0;0;0
"2";15;3432073;3432074;"Let’s get started!";"title-2";3432066;0;2075,2;506;0;0
"3";-1;3432074;3432066;"Internationalisation";"title-1";3432066;0;NA;0;0;0
"4";16;3432161;3432074;"Traduisez vos formulaires";"title-2";3432066;0;914,4;340;0;0
"5";17;3432181;3432074;"Changez de langue";"title-2";3432066;0;509,7;312;0;0
"6";-2;3432226;3432066;"Faites des formulaires encore plus efficaces";"title-1";3432066;0;NA;0;0;0
"7";-3;3432381;3432066;"Sécurisez vos sites avec l'authentifications et les autorisations";"title-1";3432066;0;NA;0;0;0
"8";-4;3432386;3432066;"Enrichissez vos formulaires";"title-1";3432066;0;NA;0;0;0
"9";2;3432391;3432386;"Ajoutez des notifications avec les messages flash";"title-2";3432066;0;882,6;253;0;0
"10";1;3432396;3432386;"Introduction";"title-2";3432066;0;848,5;248;0;0
"11";3;3432401;3432386;"Simplifiez la configuration de vos routes";"title-2";3432066;0;553,8;172;0;0
"12";4;3432406;3432386;"Réutilisez vos vues";"title-2";3432066;0;1276,6;602;0;0
"13";5;3432411;3432386;"Bonus : affichez des images";"title-2";3432066;0;711,1;276;0;0
"14";6;3432476;3432381;"Authentification : introduction";"title-2";3432066;0;1056,7;223;0;0
"15";11;3432501;3432381;"Aérez votre code grâce aux modèles";"title-2";3432066;0;702,7;121;0;0
"16";10;3432506;3432381;"Assignez différents droits à vos utilisateurs";"title-2";3432066;0;2045,5;456;0;0
"17";9;3432511;3432381;"Allégez vos contrôleurs avec before_action";"title-2";3432066;0;756,4;427;0;0
"18";8;3432516;3432381;"Maintenez la connexion avec les sessions";"title-2";3432066;0;1496;237;0;0
"19";7;3432521;3432381;"Permettez à vos utilisateurs de se connecter";"title-2";3432066;0;1467,6;406;0;0
"20";13;3432611;3432226;"Consolidez vos contrôleurs avec strong parameters";"title-2";3432066;0;545,3;418;0;0
"21";12;3432616;3432226;"Démarrez votre projet en une commande avec le scaffolding";"title-2";3432066;0;1227,1;578;0;0
"22";18;3432861;3432074;"Mot de la fin";"title-2";3432066;0;1441,4;150;0;0
"23";14;3501311;3432226;"Faites un clone de Twitter en 1 minute";"title-2";3432066;0;461;128;0;0
"24";0;3599563;3432521;"Créez votre contrôleur";"title-3";3432066;0;NA;0;0;0
"25";0;3599564;3432521;"Protégez les mots de passe de vos utilisateurs";"title-3";3432066;0;NA;0;0;0
"26";0;3615898;3432616;"Première escale : le scaffolding";"title-3";3432066;0;NA;0;0;0
"27";0;3705694;3432073;"Explications";"title-3";3432066;0;NA;0;0;0
"28";0;3845237;3432181;"Un cookie ?";"title-3";3432066;0;NA;0;0;0
"29";0;3845238;3432181;"Via le navigateur";"title-3";3432066;0;NA;0;0;0
