,id,part_id,parent_id,title,type,slug,element_id,course_id,size,nb_img,vid_length
1,0,3432066,0,Continuez avec Ruby on Rails,course,continuez-avec-ruby-on-rails,6408415,3432066,0,0,0
2,-99,3432386,3432066,Enrichissez vos formulaires,title-1,enrichissez-vos-formulaires,6373963,3432066,0,0,0
3,1,3432396,3432386,Introduction,title-2,introduction-181,5932182,3432066,248,0,0
4,2,3432391,3432386,Ajoutez des notifications avec les messages flash,title-2,ajoutez-des-notifications-avec-les-messages-flash,6373934,3432066,253,0,0
5,3,3432401,3432386,Simplifiez la configuration de vos routes,title-2,simplifiez-la-configuration-de-vos-routes,6242042,3432066,172,0,0
6,4,3432406,3432386,Réutilisez vos vues,title-2,reutilisez-vos-vues,6373962,3432066,602,0,0
7,5,3432411,3432386,Bonus : affichez des images,title-2,bonus-affichez-des-images,6242302,3432066,276,0,0
8,-99,3432381,3432066,Sécurisez vos sites avec l'authentifications et les autorisations,title-1,securisez-vos-sites-avec-l-authentifications-et-les-autorisations,6388183,3432066,0,0,0
9,6,3432476,3432381,Authentification : introduction,title-2,authentification-introduction,6388182,3432066,223,0,0
10,7,3432521,3432381,Permettez à vos utilisateurs de se connecter,title-2,permettez-a-vos-utilisateurs-de-se-connecter,6257403,3432066,406,0,0
11,8,3599563,3432521,Créez votre contrôleur,title-3,,6257402,3432066,0,0,0
12,9,3599564,3432521,Protégez les mots de passe de vos utilisateurs,title-3,,5708474,3432066,0,0,0
13,10,3432516,3432381,Maintenez la connexion avec les sessions,title-2,maintenez-la-connexion-avec-les-sessions,5932723,3432066,237,0,0
14,11,3432511,3432381,Allégez vos contrôleurs avec before_action,title-2,allegez-vos-controleurs-avec-before-action,6243543,3432066,427,0,0
15,12,3432506,3432381,Assignez différents droits à vos utilisateurs,title-2,assignez-differents-droits-a-vos-utilisateurs,6267372,3432066,456,0,0
16,13,3432501,3432381,Aérez votre code grâce aux modèles,title-2,aerez-votre-code-grace-aux-modeles,6243653,3432066,121,0,0
17,-99,3432226,3432066,Faites des formulaires encore plus efficaces,title-1,faites-des-formulaires-encore-plus-efficaces,6408414,3432066,0,0,0
18,14,3432616,3432226,Démarrez votre projet en une commande avec le scaffolding,title-2,demarrez-votre-projet-en-une-commande-avec-le-scaffolding,6408413,3432066,578,0,0
19,15,3615898,3432616,Première escale : le scaffolding,title-3,,6408412,3432066,0,0,0
20,16,3432611,3432226,Consolidez vos contrôleurs avec strong parameters,title-2,consolidez-vos-controleurs-avec-strong-parameters,6244193,3432066,418,0,0
21,17,3501311,3432226,Faites un clone de Twitter en 1 minute,title-2,faites-un-clone-de-twitter-en-1-minute,5937524,3432066,128,0,0
22,-99,3432074,3432066,Internationalisation,title-1,internationalisation-1,6246314,3432066,0,0,0
23,18,3432073,3432074,Let’s get started!,title-2,let-s-get-started,6245012,3432066,506,0,0
24,19,3705694,3432073,Explications,title-3,,5960672,3432066,0,0,0
25,20,3432161,3432074,Traduisez vos formulaires,title-2,traduisez-vos-formulaires,5961362,3432066,340,0,0
26,21,3432181,3432074,Changez de langue,title-2,changez-de-langue,6246313,3432066,312,0,0
27,22,3845237,3432181,Un cookie ?,title-3,,6245432,3432066,0,0,0
28,23,3845238,3432181,Via le navigateur,title-3,,6246312,3432066,0,0,0
29,24,3432861,3432074,Mot de la fin,title-2,mot-de-la-fin-2,5961614,3432066,150,0,0
