,id,part_id,parent_id,title,type,slug,element_id,course_id,size,nb_img,vid_length
1,0,2984401,0,Apprenez à coder avec JavaScript,course,apprenez-a-coder-avec-javascript,6957182,2984401,0,0,0
2,-99,2984407,2984401,Écrivez vos premières lignes de code,title-1,ecrivez-vos-premieres-lignes-de-code,6957181,2984401,0,0,0
3,1,2984411,2984407,Introduction à la programmation,title-2,introduction-a-la-programmation-1,5812387,2984401,1290,2,0
4,2,3012712,2984411,"Un programme, c'est quoi ?",title-3,,5812382,2984401,0,0,0
5,3,2986236,2984411,Comment créer des programmes ?,title-3,,4240313,2984401,0,0,0
6,4,3012716,2984411,Apprendre à programmer,title-3,,5812386,2984401,0,0,0
7,5,3007043,2984407,Quel langage pour débuter ?,title-2,quel-langage-pour-debuter,5210088,2984401,520,1,0
8,6,3035856,3007043,Présentation de JavaScript,title-3,,5210085,2984401,0,0,0
9,7,3007053,3007043,Version de JavaScript utilisée,title-3,,5210087,2984401,0,0,0
10,8,2984416,2984407,Configurez votre environnement de travail,title-2,configurez-votre-environnement-de-travail,6258141,2984401,1553,6,126
11,9,3012842,2984416,Coder avec JavaScript en ligne,title-3,,4240922,2984401,0,0,0
12,10,3012924,2984416,Coder avec JavaScript sur sa machine,title-3,,6258140,2984401,0,0,0
13,11,2984431,2984407,"1, 2, 3, codez !",title-2,1-2-3-codez,4908640,2984401,14666,5,191
14,12,3037149,2984431,Valeurs et types,title-3,,4908634,2984401,0,0,0
15,13,3037306,2984431,Structure d'un programme,title-3,,4908637,2984401,0,0,0
16,14,3037326,2984431,A vous de jouer !,title-3,,4908639,2984401,0,0,0
17,15,3039191,2984407,Jouez avec les variables,title-2,jouez-avec-les-variables,6957180,2984401,2252,8,110
18,16,3039317,3039191,La notion de variable,title-3,,6957134,2984401,0,0,0
19,17,3039794,3039191,La notion d'expression,title-3,,6258163,2984401,0,0,0
20,18,3235056,3039191,Conversions de types,title-3,,6957137,2984401,0,0,0
